top          topage  k_cond    rhp           phi       decay     solidus      liquidus   
 360.000000     0.0  2.564000  1.498000e-06  0.584000  0.622000  2708.000000  2708.000000
 523.190000     5.0  2.277900  1.585208e-06  0.606586  0.662183  2707.024001  2707.024001
 845.880000    23.0  1.856198  1.608295e-06  0.637742  0.700175  2707.734916  2707.734916
1113.070000    34.0  0.769366  9.523252e-07  0.328388  0.389374  1266.639495  1266.639495
1364.940000    56.0  2.685191  1.428223e-06  0.568786  0.594719  2709.049274  2709.049274
1739.870000    66.0  1.959962  1.634753e-06  0.617657  0.637082  2709.410640  2709.410640
1991.920000   145.0  2.389656  1.524629e-06  0.592339  0.623368  2708.640057  2708.640057
2142.170000   164.0  2.139735  1.593953e-06  0.604479  0.662501  2638.327714  2638.327714
2572.900000   174.0  3.129789  1.008131e-06  0.493581  0.449826  2716.135856  2716.135856
3094.860000   201.0  3.481859  8.653857e-07  0.454647  0.385675  2708.997194  2708.997194
5416.485239   250.0  2.564000  1.498000e-06  0.584000  0.622000  2708.000000  2708.000000
